,label,text,target
1488,ham,"Subject: enron / hpl actuals for august 28 , 2000
teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily
ls hpl lsk ic 20 . 000 / enron",yes
3948,spam,Subject: photoshop ,no
3418,ham,"Subject: tenaska iv july
darren :
please remove the price on the tenaska iv sale , deal 384258 , for july and enter the demand fee . the amount should be $ 3 , 902 , 687 . 50 .
thanks ,
megan",yes
4791,spam,Subject: photoshop ,no
2643,ham,"Subject: re : first delivery - wheeler operating
vance ,
deal # 643714 has been created and entered in sitara .
bob
vance l taylor
02 / 23 / 2001 04 : 55 pm
to : robert cotten / hou / ect @ ect
cc : julie meyers / hou / ect @ ect , lisa hesse / hou / ect @ ect , cynthia
hakemack / hou / ect @ ect , susan smith / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : first delivery - wheeler operating
bob ,
the following production is now on - line and a ticket should be created and
entered into sitara based on the following :
counterparty meter volumes price period global no .
wheeler operating 9879 800 mmbtu / d 85 % gas daily 2 / 17 - 2 / 28 nya
fyi , i have created and submitted a committed reserves firm ticket for the
remaining term of the deal beginning with the month of march . additionally ,
this is a producer svcs . deal and should be tracked in the im wellhead
portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353
- - - - - - - - - - - - - - - - - - - - - - forwarded by vance l taylor / hou / ect on 02 / 23 / 2001
04 : 21 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : esther buckley 02 / 22 / 2001 10 : 39 am
to : molly l carriere / hou / ect @ ect , clem cernosek / hou / ect @ ect , donna
consemiu / hou / ect @ ect , robert cook / hou / ect @ ect , howard b camp / hou / ect @ ect ,
lisa hesse / hou / ect @ ect , nathan l hlavaty / hou / ect @ ect , wayne e
lightfoot / hou / ect , james mckay / hou / ect @ ect , mary m smith / hou / ect @ ect , steve
hpl schneider / hou / ect @ ect , melissa graves / hou / ect @ ect , michael
walters / hou / ect @ ect , jill t zivley / hou / ect @ ect , mary jo johnson / hou / ees @ ees ,
rita wynne / hou / ect @ ect , lauri a allen / hou / ect @ ect , cheryl
jones / gpgfin / enron @ enron , reid hansen / gco / enron @ enron , darron c
giron / hou / ect @ ect , o ' neal d winfree / hou / ect @ ect , susan smith / hou / ect @ ect ,
gary bryan / hou / ect @ ect , gary a hanks / hou / ect @ ect , donald p
reinhardt / hou / ect @ ect , vance l taylor / hou / ect @ ect , david
baumbach / hou / ect @ ect , robert cotten / hou / ect @ ect , brian m riley / hou / ect @ ect ,
jeff a austin / hou / ees @ ees , cynthia hakemack / hou / ect @ ect , dawn c
kenne / hou / ect @ ect , lisa csikos / hou / ect @ ect , j r fosdick / gco / enron @ enron ,
carlos j rodriguez / hou / ect @ ect , stephanie gomes / hou / ect @ ect , pat
clynes / corp / enron @ enron , tom acton / corp / enron @ enron , robert
walker / hou / ect @ ect , george weissman / hou / ect @ ect , joanne
harris / na / enron @ enron , christy sweeney / hou / ect @ ect , earl tisdale / hou / ect @ ect ,
daren j farmer / hou / ect @ ect
cc :
subject : first delivery - wheeler operating
please see attached letter",yes
3137,ham,"Subject: swift - may 2001 vols
sean ,
fyi , check the purchase from swift at the tailgate ( meter 9643 ) and make sure to nom the correct quantity .
mary
- - - - - - - - - - - - - - - - - - - - - - forwarded by mary poorman / na / enron on 04 / 26 / 2001 07 : 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : joan quick / enron @ enronxgate on 04 / 25 / 2001 06 : 13 pm
to : carlos j rodriguez / hou / ect @ ect , mary poorman / na / enron @ enron , jackie young / hou / ect @ ect
cc : brian m riley / hou / ect @ ect , mike morris / corp / enron @ enron
subject : swift - may 2001 vols
here is the may first of the month nom :
king ranch plant 6 , 400 mmbtu / d",yes
1629,ham,"Subject: meter variances - ua 4 clean - up
daren / vance -
the two meters below are new and have unallocatable flow . . . . . . . i will need a
purchase for each of them . please respond with a deal number , or further
suggestions for resolution so that i can clear this up as soon as possible .
mary
enron on 09 / 19 / 2000 08 : 44 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
katherine benedict @ ect
09 / 18 / 2000 04 : 53 pm
to : mary poorman / na / enron @ enron , fred boas / hou / ect @ ect , aimee
lannou / hou / ect @ ect
cc :
subject : meter variances - ua 4 clean - up
hi guys ,
please take a look at the following meters which are showing up with
variances on my ua 4 report . once the variance has been cleared , please send
me an e - mail . please try to clear these within the next couple of days .
thanks ,
kathy benedict
meter number : 9851
variance : 11 , 204
meter type : daily swing
production month : august 2000
logistics contact : none
volume mgmt contact : anita luong
meter number : 9852
variance 568
meter type : daily swing
production month : august 2000
logistics contact : none
volume mgmt contact : anita luong",yes
1858,ham,"Subject: additional recruiting
i ' m happy to introduce molly magee as the newest addition to the eops
recruiting team . toni and molly have divided their recruiting duties
along separate job functions . please review the information below and
direct your staffing requests to either toni or molly depending on your job
needs .
toni graham - accounting , risk and confirmation / settlements positions ( or
openings requiring a similar skill set of this candidate pool )
molly magee - logistics , global data management , research , legal , competitive
analysis , contract administration and other positions ( or openings requiring
a similar skill set of this candidate pool )
thanks for your assistance ,
hgm",yes
3261,ham,"Subject: fw : ercot load comparison
- - - - - original message - - - - -
from : gilbert - smith , doug
sent : tuesday , may 22 , 2001 8 : 38 am
to : tmartin @ enron . com
subject : ercot load comparison
tom ,
here is an answer for you vis a vis load growth .
hope it helps ,
doug
- - - - - - - - - - - - - - - - - - - - - - forwarded by doug gilbert - smith / corp / enron on 05 / 22 / 2001 08 : 35 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : kevin cline / enron @ enronxgate on 05 / 21 / 2001 03 : 26 pm
to : doug gilbert - smith / corp / enron @ enron
cc : eric saibi / corp / enron @ enron
subject : ercot load comparison
please find attached spreadsheet that compares hot days from may 2000 and may 2001 . there are two tabs , one tab contains the days may 16 - 18 , 2000 and the other tab contains the days may 14 - 18 , 2001 . each tab contains both the load data and temp data particular to the days in question . the days most directly comparable are may 17 , 2001 ( thursday ) and may 18 , 2000 ( thursday ) , although the two days preceding may 18 , 2000 were slightly warmer than the two days preceding may 17 , 2001 . the peak on 5 / 17 / 2001 , 44 , 923 mw , is 2 . 78 % higher than the peak on 5 / 18 / 2000 , 43 , 709 mw . with similarly warm days before 5 / 17 / 2001 as there were before 5 / 18 / 2000 , the peak would obviously have been even higher . this would put the year - over - year growth in excess of 3 % . i believe this falls right in line with the growth rate year - over - year from an earlier analysis , somewhere in the range of 3 . 5 % to 4 % .
let me know if you have any questions or comments .",yes
3447,ham,"Subject: meter 6461 , concorde churchill
one year rate for this one will be $ . 35 / mm for volumes greater than 300 mm / day . price for volumes 300 mm / day or less will be $ . 45 / mm plus a $ 350 per month metering fee . this rate would cover transport to a competitive ship channel market such as equistar channelview . transport rates for a 6 month term are not significantly different - $ . 33 / mm for volumes greater than 300 mm / day and $ . 42 / mm plus the metering fee for volumes 300 mm / day or less . these rates assume a september 1 , 2001 start . these rates good until friday , august 31 , 2001 only ! ! ! get ' em while they ' re hot ! !",yes
2459,ham,"Subject: hpl nom for january 25 , 2001
( see attached file : hplnol 26 . xls )
- hplnol 26 . xls",yes
2221,ham,"Subject: re : tenaska iv 10 / 00
we have received all of the money from the spot sales for tenaska iv in
october 2000 , except for the tenaska iv sale and the $ 0 . 04 fee .
megan",yes
4827,spam,Subject: photoshop ,no
1811,ham,"Subject: re : enron / hpl actuals for october 11 , 2000 - revision
please note that the pricing allocation of volumes for october 11 , 2000 should
be changed as follows .
teco tap 40 . 000 / enron ; 25 . 209 / hpl iferc ; 84 . 791 / hpl gas daily
the total nomination of 775 . 000 subject to the iferc pricing was completed on
october 11 , 2000 . all remaining gas purchases under the hpl contract ( k # 3949 )
will be at the gas daily pricing .
thanks ,
ccs
charlie stone
10 / 13 / 2000 03 : 04 pm
to : gary green / texas utilities @ tu , daren . j . farmer @ enron . com ,
gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com ,
earl . tisdale @ enron . com , ami . chokshi @ enron . com , david
avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000 - revision
all gas nominated at iferc pricing for the month has been taken . remaining
purchases under k # 3949 will be at the gas daily pricing .
teco tap 40 . 000 / enron ; 110 . 000 / hpl gas daily
- - - - - - - - - - - - - - - - - - - - - - forwarded by charlie stone / texas utilities on
10 / 13 / 2000
02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
gary green
10 / 13 / 2000 10 : 04 am
to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu ,
daren . j . farmer @ enron . com , gary . a . hanks @ enron . com ,
carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com ,
ami . chokshi @ enron . com , david avila / lsp / enserch / us @ tu
cc :
subject : enron / hpl actuals for october 12 , 2000
teco tap 40 . 000 / enron ; 110 . 000 / hpl iferc",yes
2367,ham,"Subject: registration confirmation from spinner . com
thank you for joining spinner . com : the web ' s largest source of free streaming
music
just wanted to confirm your registration with spinner - - you now have
complete access to spinner ' s 150 + professionally programmed music channels
and the entire spinner . com website . and just to remind you , the player , the
website , and ( most importantly ! ) the music are all totally free .
* your user name is : junglo
we have omitted your password for your privacy . please hang on to this email
so you can easily retrieve your user name if you forget it .
* forget your password ? enter your user name and email address at our
password retrieval page and we ' ll email it to you :
* you can also change your email address from your my profile page :
http : / / www . spinner . com / profile /
* for download / installation assistance , visit our help pages :
http : / / www . spinner . com / help / download /
* if you have any questions or any problems at all , please email us at :
feedback @ spinner . com
our users listen to 20 million songs a week , from almost every genre of music
you can imagine . they also learn more about everything they hear by clicking
on the player :
* get bios on every artist you hear by clicking "" artist info , "" and purchase
their cds by clicking "" buy this cd "" .
* click "" rate song "" to let our djs know what you think of each song you hear
- - they ' ll use your feedback to determine song play .
* click "" channel "" to see this week ' s top 25 songs on the channel you ' re
playing , ranked in order of popularity .
* for even more great info on our channels and music , visit spinner . com . you
can find out what channels play your favorite artists , download great free
songs , and take part in cool promotions and contests .
thanks again for registering . if you like what you hear , tell a friend about
spinner .
enjoy the music !
the spinner crew
if you received this email in error , you can unsubscribe from our service
here :
http : / / www . spinner . com / unsubscribe /",yes
2829,ham,"Subject: aep transition items
attached is a brief memo outline some of the transtion issues with hpl to aep
this is the first draft .
the itilized items currently require some more action .
please add any items and forward back to me . i will update
thanks
bob",yes
3512,ham,"Subject: an inbound message for you has been quarantined
you have received this message because someone has attempted to send you an e - mail from outside of enron with an attachment type that enron does not allow into our messaging environment . your e - mail has been quarantined and is being held at the mailsweeper server .
sender : colio @ houston . rr . com
date : thu , 27 sep 2001 16 : 07 : 26 - 0500
subject : logitech video e - mail
attachment type : scenarios / incoming / inbound exe catcher : a filename matching the file mask was detected : ' vmailvid . exe ' .
if the intended email is of valid business - related content and you believe it requires enron resources to retrieve it , you may call your help desk and ask to have it released from quarantine and delivered to your e - mail inbox . your message will be scanned and checked for viruses prior to requested release . if it contains a virus or there is reason to suspect it is malicious code , it will not be delivered .
north american resolution center : 713 853 1411
european resolution center : 0044 207 78 36777
ees help desk : 888 853 9797
ets solution center : 713 345 4745 ( houston ) or 402 398 7454 ( omaha )
please do not reply to this address as it is not a monitored system mailbox .",yes
441,ham,"Subject: re : valero gas marketing ; meter # : 8018 / sitara ticket # 148376
please zero out the volumes until further notice . the plant is scheduled to
come up on march 26 and we will treat it as force majeure at this time .
from : robert e lloyd 03 / 13 / 2000 02 : 28 pm
to : howard b camp / hou / ect @ ect
cc : stacey neuweiler / hou / ect @ ect , daren j farmer / hou / ect @ ect , gary w
lamphier / hou / ect @ ect
subject : valero gas marketing ; meter # : 8018 / sitara ticket # 148376
fyi . . . only !
gary agreed to let the deficiency volumes hit the buyback that is set
presently .
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 03 / 13 / 2000
02 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : robert e lloyd 03 / 13 / 2000 02 : 09 pm
to : gary w lamphier / hou / ect @ ect , stacey neuweiler / hou / ect @ ect , daren j
farmer / hou / ect @ ect
cc : pat clynes / corp / enron @ enron , aimee lannou / hou / ect @ ect
subject : valero gas marketing ; meter # : 8018 / sitara ticket # 148376
effective march 11 th valero has not pulled any gas on a 35 . 0 / day
nomination .
do you want to arrange a buyback for this activity . there is a buyback
ticket { # 148381 } available
to handle any underage .
i am being told this interconnect will be down 2 - weeks ; effective march
11 th .",yes
3403,ham,"Subject: the houston expl dec 2000
darren :
elizabeth hernandez fixed this deal for me . i don ' t need for you to look into it . thanks anyway .
- - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 07 / 27 / 2001 01 : 46 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : megan parker 07 / 19 / 2001 10 : 27 am
to : daren j farmer / enron @ enronxgate
cc :
subject : the houston expl dec 2000
daren :
i ' m not sure if you can help me , but i have a danny conner deal from december 2000 that has a price issue .
we were buying gas from the houston exploration company on black marlin , high island 138 / hpl meter 98663 , deal 508426 . the deal was priced at hsc - 0 . 14 . in december , a new platform came on , high island 115 / hpl meter 986431 . it did not start flowing until the 20 th . danny did not put a new deal in for this meter , so we combined the gas on deal 508426 . the houston exploration thinks that the gas at hi 115 should be kept separate and priced at hsc gd - 0 . 14 since it did not begin flowing until the 20 th . we agree that we received the gas . we have the pipeline statement from black marlin . we just don ' t have the same pricing . the houston exploration shows that we owe them an additional $ 222 k due to this price difference . we only purchased this gas in dec 2000 and jan 2001 . the deal for jan , 547063 , was priced at gd - 0 . 14 . can you verify how this deal should be priced ? i sent this issue to danny back in january and he said the if price was correct , but the houston exploration is sticking to their price . if you need to talk to their trader , his name is lester lipperdt 713 - 830 - 6960 .
megan",yes
1746,ham,"Subject: enron / hpl actuals for october 2 , 2000
teco tap 60 . 000 / enron ; 40 . 000 / hpl iferc
ls hpl lsk ic 15 . 000 / hpl iferc",yes
3551,ham,"Subject: to : all domestic employees who participate in the enron corp
savings plan
october 26 is fast approaching !
mark your calendar - -
as the enron corp . savings plan moves to a new administrator !
as a savings plan participant , friday , october 26 at 3 : 00 pm cst will be your last day to :
? transfer investment fund balances and make contribution allocation changes
? change your contribution rate for the november 15 th payroll deductions
? enroll if you were hired before october 1
two important reminders :
? vanguard lifestrategy investment options are being replaced with fidelity freedom funds and ;
? your funds will remain invested in the funds chosen as of 3 : 00 pm cst until 8 : 00 am november 20 .
at 8 : 00 am cst , november 20 the savings plan system re - opens with great new features .
should you need assistance during the transition period , call ext . 3 - 7979 and press option 6 . this option will be available from 8 : 00 am cst october 29 until 5 : 00 pm cst november 19 .
enron benefits . . . keeping pace with your lifestyle .",yes
1054,ham,"Subject: re : new eol product
the texas gas group will definitely be rolling out a "" super peak "" 5 x 8 product
for gas delivery from 1300 to 2100 cdt . if we decide to roll out another
product , probably a "" peak "" 5 xl 2 ( 900 to 2100 cdt ) we will let you know
sometime today .
we will relay the prices to you on monday .
dale neuner 06 / 23 / 2000 09 : 43 am
to : steve venturatos / hou / ect @ ect , melba lozano / hou / ect @ ect , sheri
thomas / hou / ect @ ect , robert b cass / hou / ect @ ect
cc :
subject : re : new eol product
steve -
one issue that immediately comes to mind is the ' general terms and
conditions ' ability to handle intra - day nominations . . this may require a new
product type and gtc .
are we presently trading this product otc , or is this unprecedented ?
dale
to : dale neuner / hou / ect @ ect
cc :
subject : new eol product
- - - - - - - - - - - - - - - - - - - - - - forwarded by melba lozano / hou / ect on 06 / 23 / 2000 09 : 30
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron north america corp .
from : steve venturatos 06 / 23 / 2000 09 : 29 am
to : sheri thomas / hou / ect @ ect , melba lozano / hou / ect @ ect
cc :
subject : new eol product
we are finalizing plans to introduce a new gas products ( s ) for july . the
product ( s ) would be an hourly product either 5 x 8 or 5 xl 2 or 5 xl 6 .
even though we have not decided which product to introduce , i thought i would
give you a heads up to keep you in the loop .",yes
282,ham,"Subject: pathing procedures for buybacks
to path a buyback { mop ; supply list } with an existing market deal
{ typically baseload } please follow these steps :
theory # 1 : example ; supply deal = 5 . 0 / d supply deal = 7 . 0 / d & market deal = 10 . 0 / d
1 ) follow steps 1 & 2 in theory # 1 .
2 . ) additionally , create a service transportation contract { i . e . k - 215 } in
the path list .
2 . ) path 7 . 0 on the "" buy / sell "" path list contract and 10 . 0 on the
transport { i . e . k - 215 } contract .
this procedure will eliminate an out - of - balance in mop for both the "" supply
deal and the market deal "" and send 3 . 0 to pop via x - port k - 215 .
note : never path a buyback { supply deal } using a receipt transport contact
and the { market deal } using a delivery transport contract .
pop ' s should only reflect the "" net "" on these two transactions { buyback
and baseload deal } .",yes
4606,spam,Subject: photoshop ,no
890,ham,"Subject: enron actuals for june 02 thru 04 , 2000
june 2 teco tap 56 . 250 / hpl iferc
texoma 20 . 000 / hpl iferc
ls hpl katy 40 . 000 / enron
june 3 teco tap 30 . 000 / enron
60 . 000 /
hpl iferc
june 4 teco tap 75 . 000 / hpl iferc",yes
2313,ham,"Subject: on - call notes
please see the attached file for on - call notes .
bob",yes
154,ham,"Subject: 19 th noms on copanos
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 18 / 2000
11 : 11 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
troy _ a _ benoit @ reliantenergy . com on 01 / 18 / 2000 10 : 48 : 53 am
to : ami chokshi / corp / enron @ enron
cc :
subject : 19 th noms on copanos
( see attached file : hpl - jan . xls )
- hpl - jan . xls",yes
310,ham,"Subject: lst rev feb . 2000 josey ranch nom
- - - - - - - - - - - - - - - - - - - - - - forwarded by susan d trevino / hou / ect on 02 / 16 / 2000
09 : 43 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bob withers on 02 / 16 / 2000 09 : 37 : 09 am
to : susan d trevino / hou / ect @ ect
cc : stretch brennan , kevin mclarney ,
vance l taylor / hou / ect @ ect
subject : lst rev feb . 2000 josey ranch nom
here ' s revised february 2000 ( effective 2 / 17 / 00 ) setup for josey : ( using
1 . 075 btu / mcf ) note : btu revision
* gas deliveries into hpl
12 , 400 mmbtu / d for kri ( net
reduction of mmbtu / d )
12 , 400 mmbtu / d into hpl
bob withers > <
kcs energy , 5555 san felipe , suite 1200
houston , tx 77056
voice mail / page 713 - 964 - 9434",yes
4167,spam,"Subject: vlc , 0 dln for sale , no prior pres . crip . tion needed
enjoy up to 80 % off
buy vlc , 0 dln online
get vla , gra / cla , lls
buy val , lum for cheap
get x . a . x . a . x online from our online pha , rmacy .
many others also available !
no p . r . e , s . c . r , i . p . t . i . o . n required
discreet / fast shipping . plus * no shipping charge *
and always 100 % money back guarantee
click here for more info
",yes
3881,spam,"Subject: jennifer
sends them to their final destination .
designated as a private key
4 . validate public keys .
someone wants to meet you !
who your match could be , find here
to the purported owner . you
",yes
2951,ham,"Subject: calpine daily gas nomination
>
>
julie , as i mention earlier we hope to start the unit this afternoon but
are still experiencing difficulties . i will keep you informed . thanks .
ricky a . archer
fuel supply
700 louisiana , suite 2700
houston , texas 77002
713 - 830 - 8659 direct
713 - 830 - 8722 fax
- calpine daily gas nomination 1 . doc
- calpine daily gas nomination 1 . doc",yes
1778,ham,"Subject: enron / hpl actuals for october 5 , 2000
teco tap 60 . 000 / enron ; 65 . 000 / hpl iferc
ls hpl lsk ic 15 . 000 / hpl iferc",yes
348,ham,"Subject: re : potential volume list for march , 2000
fyi . . . this well should come on the lst week of march , but does have gas daily
mid month pricing for the first month . thanks .
susan
smith
02 / 22 / 2000 01 : 44 pm
to : daren j farmer / hou / ect @ ect
cc : melissa graves / hou / ect @ ect , donald p reinhardt / hou / ect @ ect , vance l
taylor / hou / ect @ ect , jill t zivley / hou / ect @ ect
subject : potential volume list for march , 2000
darren :
this is potential new volume for march , 2000 :
counterparty meter volume mid month gas daily ?
cico oil & gas co . tba 2117 mmbtu per day yes
this number is not in vance ' s production estimate . this well is anticipated
to come on the first week of march but earlier is possible .
please let me know if you need any additional information .
susan smith x 33321",yes
1284,ham,"Subject: re : new production - sitara deals needed
vance ,
deals # 348725 ( 6 / 10 - 6 / 30 ) and # 348729 ( 7 / 1 - 7 / 31 ) have been created and
entered in sitara for hesco .
hillary ,
do not confirm .
bob
vance l taylor
07 / 28 / 2000 01 : 24 pm
to : robert cotten / hou / ect @ ect
cc : lisa hesse / hou / ect @ ect , trisha hughes / hou / ect @ ect , heidi
withers / hou / ect @ ect , hillary mack / corp / enron @ enron , susan smith / hou / ect @ ect ,
donald p reinhardt / hou / ect @ ect , melissa graves / hou / ect @ ect
subject : new production - sitara deals needed
bob ,
the following production is now on - line and a ticket should be created and
entered into sitara based on the following :
counterparty meter volumes price period
hesco gathering oil co 9835 600 mmbtu / d 96 % gas daily less $ 0 . 14
6 / 10 - 7 / 31
samson lone star limited 9845 3000 mmbtu / d 100 % gas daily less $ 0 . 10 7 / 21 -
7 / 31
winn exploration co . , inc . 9847 800 mmbtu / d 100 % gas daily less $ 0 . 13 7 / 25
- 7 / 31
( for fuel use less 3 . 35 % of del vols )
fyi , susan has created and submitted committed reserves firm tickets for the
remaining term of the deal beginning with the month of august . additionally ,
these are producer svcs . deals and should be tracked in the im wellhead
portfolio . . . attached to the gathering contract .
thanks ,
vlt
x 3 - 6353",yes
3947,spam,Subject: photoshop ,no
4417,spam,Subject: photoshop ,no
4572,spam,Subject: photoshop ,no
